"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Lab","Homework","Quiz","overall","Grade"
"106",55,85,100,100,60,100,80,90,90,12,92,78,85,100,71,76,89,85,100,88,92,89,"A-"
"107",92,78,92,100,100,96,89,98,99,12,83,72,80,100,58,72,73,80,100,96,88,86,"B"
"108",62,98,82,68,90,98,100,80,100,12,75,72,57,75,55,50,69,56,100,89,74,76,"C"
"109",100,100,92,100,100,0,94,85,0,10,42,83,70,0,71,76,89,84,80,84,65,82,"B-"
"110",88,92,100,90,87,96,94,95,70,12,96,83,70,15,65,42,81,47,100,93,83,78,"C+"
"111",92,100,100,100,100,99,100,100,97,12,100,100,100,100,65,88,81,98,100,100,100,96,"A+"
"112",95,96,100,100,100,97,30,95,98,12,92,44,80,95,44,64,55,71,100,98,89,82,"B-"
"113",78,95,98,80,100,94,99,100,85,12,83,89,60,100,61,73,76,81,100,94,91,87,"B+"
"114",88,97,100,90,100,99,97,100,85,12,67,89,95,65,58,73,72,81,100,96,84,86,"B"
"115",72,62,100,99,100,0,0,100,99,10,92,83,0,85,62,79,78,88,80,79,87,82,"B-"
"116",87,100,92,80,100,89,50,80,98,12,83,0,60,85,66,83,83,92,100,91,76,88,"B+"
"117",75,100,100,90,100,95,97,95,85,12,92,67,65,95,62,60,78,67,100,95,84,83,"B"
"118",92,85,85,0,95,99,81,90,75,12,92,94,45,90,53,75,66,84,100,88,92,84,"B"
"119",84,100,88,70,100,97,100,90,100,12,83,61,95,80,42,55,53,62,100,95,86,77,"C"
"120",78,95,95,95,90,89,99,90,85,12,100,78,90,100,71,87,89,97,100,92,97,94,"A"
"121",62,90,52,90,54,75,25,0,60,11,50,11,0,5,22,23,27,26,100,64,22,44,"F"
"122",80,85,85,90,72,95,92,100,60,12,79,72,55,90,66,66,82,73,100,87,80,83,"B"
"123",0,62,10,55,66,0,0,60,30,7,75,0,15,40,33,29,41,32,20,35,43,35,"F"
"124",88,85,100,100,95,90,100,90,80,12,100,83,65,95,50,62,62,69,100,93,93,82,"B-"
"125",78,95,75,100,100,90,98,95,100,12,100,89,95,85,56,74,70,82,100,94,95,87,"B+"
"126",92,100,100,100,100,93,88,100,80,12,67,28,75,90,65,70,81,78,100,97,77,86,"B"
"127",88,100,100,100,100,99,100,100,100,12,100,100,85,90,68,77,85,86,100,100,97,93,"A"
"128",50,100,98,75,76,94,77,94,75,12,92,100,90,100,70,76,88,85,100,86,97,89,"A-"
"129",80,100,78,78,95,90,95,80,0,9,67,78,68,0,76,59,95,66,60,87,71,78,"C+"
"130",78,90,100,100,90,95,97,100,100,12,75,78,80,90,65,60,81,66,100,96,83,84,"B"
"131",86,98,100,90,100,98,97,100,100,12,83,100,90,100,78,80,97,89,100,98,97,96,"A+"
"132",100,100,98,100,100,100,100,100,100,12,100,100,100,100,80,86,100,95,100,100,100,99,"A+"
"133",95,85,100,100,100,93,100,90,100,12,100,100,90,100,72,85,90,94,100,97,100,96,"A+"
